8du-3nyljl-c,10866,1
81o-18dde5-l,10428,1
8f3-3vis9k-d,10911,1
8ej-3shfnn-a,10891,1
8de-3l5luh-a,10850,1
fp8-2lu28k-4,20348,1
8du-3nz909-d,10866,1
84n-1ikkht-17,10535,1
7pv-hphqa-89,10219,1
8bg-38h1v8-1h,10780,1
84t-1xa14x-6,10019,1
8du-3nye7o-4,10866,1
8ep-3t87yz-i,10897,1
8bv-3b773g-2,10795,1
8bf-38bkbd-1,10779,1
87s-2l0dvf-e,10648,1
8c2-3clap7-1,10802,1
7q2-hpows-4f,10119,1
8c0-3c4w4p-3,10800,1
7r8-hr5s6-d,10052,1
83m-1fchjh-r,10498,2,7
7uh-kjdmt-2y,10180,2,5
fg0-hu8s2-1,20027,2,5
7sn-hypl0-2k,10103,2,8
fqi-32piup-3,20394,2,7
8dt-3nsxw0-b,10865,2,3
81v-19apyn-82,10435,2,3
8cy-3idmei-2,10834,2,8
fqi-32piup-3,20394,2,2
fgv-hvmrj-5q,20047,2,3
8cy-3idmei-2,10834,2,7
8c4-3cwnyr-4,10804,2,7
811-160ge5-1x,10405,2,3
7px-hqfdy-v,10119,2,8
856-241gne-7,10554,2,2
7ug-khihl-z,10168,2,3
7pv-hqi7f-1g,10219,2,2
80j-141bfr-j,10387,2,2
7z4-zo924-28,10336,2,2
850-217zje-5,10548,2,7
fgz-hwzz3-n,20051,2,2
7pv-hpqnb-9h,10003,2,8
fr5-3b023q-2,20417,2,6
7rs-hs3ot-5l,10072,2,1
7q2-hq05o-25,10119,2,2
7u3-jonp0-1e,10070,2,3
7yh-xfeis-12,10313,2,2
fi9-kngz9-1m,20097,2,3
8c1-3cagu1-2m,10801,2,4
7pv-hphn0-3g,10003,2,4
80y-15umz1-1r,10402,2,2
83p-1fnlnp-1,10501,2,3
7xz-v6vdc-15,10180,2,7
89t-2xvj07-b,10721,2,8
7ua-k4ueh-t,10180,2,8
849-1hfhdn-8s,10084,2,6
fi4-k4ih2-h,20092,2,7
8ap-33nk04-3,10753,2,7
873-2ggb6i-a,10623,2,3
7qa-hrhab-11,10018,2,2
8bx-3bmtda-1,10797,2,4
7xz-v6vdc-15,10180,2,8
fge-hu7qn-g,20030,2,8
8bk-397ajg-2z,10784,2,2
7qz-hptkt-cl,10043,2,2
84s-1wnuq6-1a,10540,2,4
89l-2wg6td-j,10713,2,3
7rb-hr8kt-w,10055,2,6
7to-izrh3-12,10140,2,2
7sd-hvb41-3,10093,2,3
7r1-hpy20-3p,10070,2,2
8bq-3afqhr-d,10790,2,2
8d7-3jxu4n-1,10843,2,8
7re-hq7gn-8c,10129,2,3
7sv-i4rq3-2l,10217,2,5
83i-1extn2-11,10524,2,3
813-16580g-5y,10019,2,2
88k-2q144m-1j,10676,2,8
7q9-hpiow-7t,10017,2,1
7xm-tuwsz-2q,10183,2,5
7pu-hqsu2-d,10002,2,3
88a-2o5k01-c1,10666,2,7
7uc-kajt1-1w,10180,2,2
7w6-ot8hl-17,10019,2,7
7tx-jcyjf-q,10149,2,4
7r6-hq4by-dc,10119,2,8
7vl-nhlny-5,10209,2,3
7v7-q72b1-6,10195,2,2
7u6-jwf5q-4b,10084,2,2
84n-1o22ck-1,10535,2,5
84t-1xvo20-e,10019,2,3
7va-mpq65-9,10198,2,6
826-1aiole-1s,10474,2,2
7qj-hpou8-w,10027,2,8
7px-hpjsg-3o,10119,2,3
7v6-minmp-1,10194,2,3
8bp-3a4oib-39,10789,2,1
84r-1tkqge-6,10539,2,2
7r6-hq4c3-if,10119,2,3
84t-1xvo20-e,10019,2,5
7u5-jte8c-r,10157,2,1
8bw-3bm7wg-9,10796,2,6
fiy-n6qw9-6,20126,2,3
7qf-hqciq-j,10023,2,2
7pu-hqsu2-d,10002,2,2
7rb-hr8kt-w,10055,2,3
7sd-hvhs2-13,10093,2,5
873-2ggb6i-a,10623,2,4
7ta-ih62x-t,10019,2,1
7vv-o3o3s-26,10019,2,3
8c0-3c9y57-2,10800,2,1
7wd-pl1qq-4,10237,2,3
7y9-wh0dw-77,10207,2,7
896-2tsfw7-15,10698,2,5
8bu-3b4iqt-5,10794,2,8
7q2-hpic4-gb,10119,2,2
821-19x3qi-1,10474,2,4
8c5-3d0xsj-8,10805,2,6
85s-27yjch-1r,10576,2,2
8bu-3b0tdj-i,10794,2,8
7q9-hppng-2d,10017,2,3
7ql-hpk2x-8r,10029,2,2
7td-ijo02-1b,10119,2,1
85k-26j9kj-1,10568,2,6
7q6-hq52r-m,10019,2,2
7wm-q2clh-4f,10180,2,6
7t7-idpqg-12,10123,2,2
84o-1v7r5w-7,10536,2,7
868-2awgdu-m,10592,2,3
884-2n2p1f-1h,10660,2,3
7q9-hphzz-5,10017,2,2
7rv-hs1rg-2h,10217,2,1
88r-2r2afp-v,10683,2,7
7wc-pdo8g-11,10119,2,5
7ya-wkozv-2w,10306,2,3
7v7-mfx5g-4d,10195,2,2
85s-280piw-19,10576,2,5
807-12qy2a-a,10428,2,2
7qj-hpjdj-3t,10027,2,3
7pw-hpl6z-9x,10019,2,1
7rf-hqdya-12r,10059,2,7
7us-lbqgr-d,10180,2,8
7qx-hpzny-65,10041,2,6
8ep-3tbz0z-a,10897,2,2
fjm-q98xm-7,20146,2,2
8cs-3h9nkz-1,10828,2,6
7ty-jeral-r,10051,2,8
fq9-2z3ztb-9,20385,2,1
89r-2xqsnd-8,10719,2,8
856-24843x-2,10554,2,3
7td-ijub0-6y,10119,2,2
fj4-pj0hu-a,20128,2,3
7v7-obs61-2,10195,2,2
7wg-pr45b-e,10070,2,3
7sb-hvd1q-3c,10091,2,4
84s-1w5urt-g,10527,2,1
fm0-16krux-2,20232,2,2
8by-3cgcaq-3,10798,2,2
7y6-w51r3-h,10180,2,1
8c9-3dshf5-6,10809,2,4
7yp-ya480-1z,10180,2,2
7q2-hpi41-8i,10010,2,2
7sp-hzjjb-23,10105,2,6
7v7-mg6vi-1b,10195,2,1
7sa-hv2po-10,10029,2,1
7wn-q622v-m,10070,2,3
8ce-3enq1k-4,10814,2,2
fk2-spsgb-j,20162,2,5
8du-3o07m1-d,10866,2,8
7q2-hpm8y-k,10119,2,2
7va-mq11r-j,10119,2,3
7sn-hxz0t-58,10103,2,3
7q2-hpj1h-5j,10119,2,6
84z-20yoky-4,10547,2,3
7q1-hs162-k,10009,2,5
7qr-hplo5-ed,10035,2,3
fox-2icfa3-5,20337,2,2
7z1-zejxa-4k,10333,2,3
7zf-10jiwc-1,10347,2,2
7vd-mx9lb-3t,10201,2,1
89r-2xikz0-r,10719,2,2
86z-2fo7zc-r,10619,2,2
7rc-hq4in-3i,10217,2,8
7xs-ugvk9-12,10288,2,2
7uc-ka78l-14,10180,2,6
84o-1tz6h4-1,10536,2,1
862-29tv2a-16,10547,2,6
8bd-37zfc1-12,10777,2,1
7qe-hpkjy-27,10022,2,3
84r-1tiwda-8,10539,2,2
fp8-2lspti-3,20348,2,7
84r-1smhy0-3,10539,2,3
7v4-mck79-10,10192,2,5
85o-27g9am-b,10572,2,2
fjr-qxj2h-d,20151,2,1
7wv-qyut2-11,10216,2,1
8bd-37zfc1-12,10777,2,2
8dg-3ljezu-6,10852,2,2
8c3-3cx2fu-4,10803,2,2
fmf-1a80op-b,20247,2,5
89q-2ycix3-1,10718,2,3
7zs-11hcui-1c,10029,2,3
7to-izrh3-12,10140,2,1
7rc-ht205-b,10217,2,2
7s1-htbpb-3e,10081,2,3
8dg-3lm4v4-c,10852,2,3
850-23ijp3-1,10548,2,3
fgw-hvfl2-p,20048,2,3
892-2t36we-1m,10694,2,6
7qz-hqq2r-2,10043,2,7
7tu-ja6b1-e,10146,2,2
fp8-2lshh1-4,20348,2,8
7u6-jwfe9-2s,10084,2,4
7qy-hpudt-s,10503,2,2
7ql-hppy5-3o,10090,2,3
84z-234qt6-2,10547,2,1
8bp-3bm9f8-1,10789,2,1
8dt-3nsxw0-b,10865,2,5
7qz-hqq2r-2,10043,2,8
fp6-2la94e-1,20346,2,2
84n-1vnqsw-6,10535,2,2
7qw-hpmlq-p,10106,2,3
87a-2hvv8e-c,10630,2,2
8ca-3dzlyr-4,10810,2,3
8dg-3lg6g1-h,10852,2,2
89r-2xqsnd-8,10719,2,6
87m-2jwh8g-b,10602,2,2
flo-14qti9-5,20230,2,5
8ea-3qut14-3,10882,2,2
8du-3o0m22-n,10866,2,1
8c1-3capgf-1,10801,2,5
8bf-38bxm7-7,10779,2,2
7yc-wt1lf-26,10180,2,3
7qm-hrmn6-n,10019,2,3
7xg-t79vb-f,10029,2,2
8du-3o35r5-l,10866,2,2
874-2gnovt-a,10602,2,2
8e9-3qoken-3,10881,2,2
8du-3o1wcq-a,10866,2,3
7v7-mfuq1-1v,10195,2,7
8cy-3ib6nw-16,10834,2,3
fq3-2wy7c0-1,20388,2,7
7uk-krcvs-6,10172,2,2
85o-27g9am-b,10572,2,1
85x-28ttn0-f,10581,2,2
84p-1t7sci-1,10537,2,8
848-1haynm-4n,10520,2,3
8c7-3dfuw4-1,10807,2,7
8bk-3973f2-5,10784,2,5
87o-2k7v2v-1k,10644,2,2
fi4-k4ih2-h,20092,2,8
7zd-10e3zg-4,10345,2,2
7ro-hqttt-5,10129,2,3
811-1608m6-z,10405,2,3
89f-2vh9bc-23,10707,2,2
7w8-p1f86-13,10232,2,8
86i-2coz7r-r,10602,2,5
807-12rfbt-3l,10375,2,2
7qh-ikuq3-2,10025,2,1
8ap-33nk04-3,10753,2,8
7qo-hpnf6-35,10051,2,2
8ap-33nk04-3,10753,2,2
8bf-38dawk-c,10779,2,1
8c1-3ca79u-c,10801,2,8
84q-1s9t8k-3,10538,2,1
87k-2jhowy-2f,10614,2,2
884-2n2p1f-1h,10660,2,1
8ep-3tb67j-1,10897,2,7
7uq-l7esi-1p,10178,2,2
fjj-pp7gc-o,20098,2,2
7so-hza2l-15,10104,2,2
8cj-3fjw3n-9,10819,2,3
851-22zj8g-1,10536,2,2
7yp-ya4sb-3k,10180,2,5
8bt-3auja6-4,10793,2,4
7py-hpg6k-4,10006,2,4
83q-1fv8wf-1p,10502,2,2
8e9-3qoyzr-6,10881,2,1
fif-ldt8j-a,20103,2,3
7si-hx8zd-2d,10084,2,3
7wo-qb76z-w,10118,2,3
8bv-3b7l4a-2t,10795,2,8
86y-2fmkk1-5,10623,2,8
8d9-3k7nyu-p,10845,2,3
7ue-kca0x-s,10166,2,3
8bf-38bxm7-7,10779,2,1
7zg-10lh5n-3x,10128,2,2
85e-261ujr-5,10562,2,7
8c1-3ca79u-c,10801,2,2
87h-2j7th2-e,10637,2,1
8ey-3ute5t-l,10906,2,3
7qi-hpkm3-6q,10026,2,8
7t1-i90if-7o,10084,2,8
88n-2qj632-r,10679,2,2
7td-ik1gv-o,10119,2,4
84q-1iwwxc-8,10538,2,3
8cy-3ibrsf-k,10834,2,3
810-161mil-a,10404,2,6
8aw-34x6h1-c,10716,2,2
866-2alos0-d,10590,2,8
fgm-hsb19-39,20038,2,2
7z9-103l8q-i,10180,2,1
7um-kwtv7-46,10070,2,4
8c3-3cos6t-2,10803,2,1
8ef-3rrkkd-1,10887,2,2
fo7-28hspm-1,20225,2,8
85x-28wj32-f,10581,2,3
8cy-3i7y8a-h,10834,2,6
flq-153vqx-1,20222,2,3
fqk-335dq9-2,20396,2,6
8cl-3fyi25-1,10821,2,2
84x-1zvliy-i,10545,2,8
8bh-38pbpt-3,10781,2,8
884-2n3m7r-7,10660,2,5
7qy-hpupd-76,10042,2,3
8dg-3ljbve-3,10852,2,3
84r-1j1z2u-1k,10539,2,1
866-2agy02-v,10590,2,1
fgg-i8tjv-g,20098,2,3
7yx-z3qxk-9,10216,2,2
7ua-k3b1v-v,10162,2,3
84x-201afh-d,10545,2,5
